OBJECTID,NAME,POP2010,POP10_SQMI,POP2012,POP12_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FIPS_I,FIPSST,FIPSCO,STPO,COUNTYNAME,CNTYDISP,CNTYSHORT,CNTYSORT,CNTYCATEGO,CNTYACTIVE,INDEPCITY,CNTYSTAND,SEATLAT,SEATLONG,NAD83UTM,NAD83STATE,NAD27STATE,STATENAME,CNTYSTARTD,CNTYENDD,LASTCHGD,NOTE,BOTTOM,TOP_,LEFT_,RIGHT_,OBJECTID_1,GlobalID,Shape_Length,Shape_Area,LAT,LONG
1,Abbeville,25417,49.7,25326,49.56164384,17691,7187,60,75,5,255,108,291,12321,13096,1527,1573,1650,1902,1556,2499,3105,3669,3733,2389,1337,477,41.5,40.1,42.9,9990,2.45,1216,1516,1911,3007,242,962,,,,,Abbeville,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.679734511,0.1294871,34.2225078,-82.45877334
2,Aiken,160099,148.2,164322,152.073963,111457,39354,682,1329,61,7824,4126,3090,77550,82549,10046,10058,10167,10993,10080,19324,19384,24020,21408,14100,7877,2642,40,38.5,41.3,64253,2.45,7744,9562,12170,19501,1603,6168,,,,,Aiken,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.730528276,0.271680093,33.544201,-81.63511739
3,Allendale,10419,25.3,10344,25.08061974,2465,7672,20,41,2,239,134,85,5540,4879,616,638,639,720,683,1418,1385,1484,1461,789,409,177,38.7,36.3,41.6,3706,2.45,556,693,454,713,80,645,,,,,Allendale,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.013643757,0.103050698,32.98805615,-81.35816863
4,Anderson,187126,247,189685,250.4158526,149818,30020,478,1405,43,5447,2500,2862,90255,96871,12069,12303,12925,12518,10798,21412,24889,27720,24163,16113,8901,3315,39.7,38.6,40.7,73829,2.5,8208,10518,15407,22318,1945,6962,,,,,Anderson,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.209436163,0.192612311,34.51897397,-82.63792299
5,Bamberg,15987,40.4,16061,40.62373533,5770,9837,42,68,3,258,112,155,7605,8382,942,919,1015,1569,1340,1555,1698,2170,2214,1408,827,330,39.2,36.7,41,6048,2.44,888,1033,888,1431,148,837,,,,,Bamberg,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.821977572,0.099036411,33.21473048,-81.05412104
6,Barnwell,22621,40.6,22837,40.96837271,11899,10015,85,126,5,411,160,331,10809,11812,1490,1613,1634,1704,1325,2537,2715,3413,3017,1773,1038,362,38.8,37,40.4,8937,2.5,1119,1419,1507,2227,234,1249,,,,,Barnwell,,,,,,,,,,,,,South Carolina,,,,,,,,,,,1.817288205,0.139714403,33.26605221,-81.43507652
7,Beaufort,162233,261.4,167491,269.8638524,116606,31290,481,1889,119,19567,8515,3333,80089,82144,10960,9566,8553,9956,11756,20137,17534,18580,22159,20137,9698,3197,40.6,38,43.4,64945,2.42,6212,9597,11914,24052,1444,4884,,,,,Beaufort,,,,,,,,,,,,,South Carolina,,,,,,,,,,,11.84826654,0.154055874,32.38583585,-80.73790666
8,Berkeley,177843,145.6,187161,153.2297943,118232,44514,1067,4046,184,10755,4990,4810,88729,89114,13253,12355,11924,12794,13378,26379,24347,25491,20128,11529,4814,1451,34.5,33.1,36,65419,2.66,6929,7452,15459,18081,2107,6895,,,,,Berkeley,,,,,,,,,,,,,South Carolina,,,,,,,,,,,3.65873273,0.305914915,33.1994695,-79.95106242
9,Calhoun,15175,38.7,15179,38.66374589,8177,6459,52,32,9,458,267,179,7397,7778,910,879,919,982,793,1597,1826,2405,2394,1479,723,268,43.4,42.1,44.6,6080,2.47,834,796,1113,1842,130,585,,,,,Calhoun,,,,,,,,,,,,,South Carolina,,,,,,,,,,,2.338478025,0.098855506,33.67493316,-80.78014738
10,Charleston,350209,358.1,358160,366.194303,224910,104239,1068,4719,299,18877,9477,5497,169871,180338,22886,20077,18419,22528,31910,55456,43171,47982,43059,25010,13869,5842,35.9,34.6,37.3,144309,2.36,18842,24643,23175,35206,2955,13462,,,,,Charleston,,,,,,,,,,,,,South Carolina,,,,,,,,,,,13.25014251,0.243958763,32.83191528,-79.96587007
